,Name,Rating,Number of Ratings,Longitude,Latitude,neighborhood,restaurant,meal_takeaway,meal_delivery,cafe,food,bakery,Weighted Rating
72,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,حي الربوة,1,0,0,0,1,0,6145.2
73,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,حي الربوة,1,0,0,0,1,0,4924.7
74,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,حي الربوة,1,1,1,0,1,0,6851.4
75,Dominos,3.8,639.0,46.6240752,24.8105963,حي الربوة,1,1,1,0,1,0,2428.2
76,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,حي الربوة,1,0,0,0,1,0,3777.2
77,Hardee's,3.3,827.0,46.6436339,24.6008518,حي الربوة,1,0,0,0,1,0,2729.1
78,KFC,3.5,975.0,46.6441676,24.6004069,حي الربوة,1,0,0,0,1,0,3412.5
79,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,حي الربوة,1,1,1,0,1,0,7581.599999999999
80,Mama Noura,4.1,11464.0,46.6653609,24.5717473,حي الربوة,1,0,0,0,1,0,47002.399999999994
81,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,حي الربوة,1,0,0,0,1,0,23438.399999999998
82,Herfy,3.8,1376.0,46.6983362,24.6940569,حي الربوة,1,0,0,0,1,0,5228.8
83,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,حي الربوة,1,0,0,0,1,0,6634.9
84,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,حي الربوة,1,0,0,0,1,0,34845.899999999994
85,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,حي الربوة,1,0,0,0,1,0,3323.1
86,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,حي الربوة,1,0,0,0,1,0,303.4
87,Herfy,3.7,380.0,46.6575254,24.7559561,حي الربوة,1,0,0,0,1,0,1406.0
88,KFC,3.6,1452.0,46.7923858,24.6840264,حي الربوة,1,0,0,0,1,0,5227.2
89,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,حي الربوة,1,1,1,0,1,0,9356.1
90,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,حي الربوة,1,0,1,0,1,0,2401.3
91,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,حي الربوة,1,0,0,0,1,0,18010.2
92,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,حي الربوة,1,0,1,0,1,0,2804.1
93,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,حي الربوة,1,0,0,0,1,0,2519.7000000000003
94,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,حي الربوة,1,0,1,0,1,0,3081.0
95,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,حي الربوة,1,0,0,0,1,0,4917.2
96,KFC,3.6,1311.0,46.713719,24.6382089,حي الربوة,1,0,0,0,1,0,4719.6
97,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,حي الربوة,1,0,0,0,1,0,30972.899999999998
98,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,حي الربوة,1,0,0,0,1,0,7077.0
99,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,حي الربوة,1,1,1,0,1,0,4096.0
100,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,حي الربوة,1,0,0,0,1,0,40252.8
101,Subway,3.7,452.0,46.7834343,24.7289012,حي الربوة,1,0,0,0,1,0,1672.4
102,Herfy,3.8,896.0,46.6736126,24.7609124,حي الربوة,1,0,0,0,1,0,3404.7999999999997
103,برجر كاسل,4.1,1057.0,46.6345087,24.714561,حي الربوة,1,0,0,0,1,0,4333.7
104,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,حي الربوة,1,0,0,0,1,0,19042.8
105,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,حي الربوة,1,0,0,0,1,0,17265.600000000002
106,McDonald's,3.7,2042.0,46.640038,24.598766,حي الربوة,1,0,0,0,1,0,7555.400000000001
107,Subway,3.8,341.0,46.65607869999999,24.608878,حي الربوة,1,0,0,0,1,0,1295.8
108,McDonald's,3.9,3568.0,46.794646,24.713222,حي الربوة,1,0,0,0,1,0,13915.199999999999
109,Herfy,3.5,746.0,46.675,24.6755556,حي الربوة,1,0,0,0,1,0,2611.0
110,KFC,3.8,1219.0,46.6889225,24.62540690000001,حي الربوة,1,0,0,0,1,0,4632.2
111,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,حي الربوة,1,0,0,0,1,0,23993.5
112,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,حي الربوة,1,0,0,0,1,0,4477.0
113,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,حي الربوة,1,0,0,0,1,0,34246.8
114,Al Romansiah,4.2,9460.0,46.792399,24.695811,حي الربوة,1,0,0,0,1,0,39732.0
115,Herfy,3.6,872.0,46.750084,24.7795459,حي الربوة,1,0,0,0,1,0,3139.2000000000003
116,KFC,3.5,1825.0,46.76440969999999,24.7327532,حي الربوة,1,0,0,0,1,0,6387.5
117,Herfy,3.8,1081.0,46.7975115,24.7809607,حي الربوة,1,0,0,0,1,0,4107.8
118,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,حي الربوة,1,0,0,0,1,0,5069.0
119,KFC,3.8,2246.0,46.6647609,24.7045778,حي الربوة,1,0,0,0,1,0,8534.8
120,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,حي الوزارات,1,0,0,0,1,0,4943.2
121,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,حي الوزارات,1,0,0,0,1,0,9642.5
122,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,حي الوزارات,1,0,0,0,1,0,1692.0
123,Dining Hall,3.0,27.0,46.6196551,24.7209893,حي الوزارات,1,0,0,0,1,0,81.0
124,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,حي الوزارات,1,0,0,0,1,0,6884.0
125,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,حي الوزارات,1,0,0,0,1,0,44109.0
126,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,حي الوزارات,1,0,0,0,1,1,45365.0
127,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,حي الوزارات,1,0,0,0,1,0,32178.399999999998
128,KFC,3.7,2198.0,46.737091,24.59506409999999,حي الوزارات,1,0,0,0,1,0,8132.6
129,McDonald's,3.9,2735.0,46.69138399999999,24.570255,حي الوزارات,1,0,0,0,1,0,10666.5
130,Domino's Pizza,3.8,589.0,46.6049938,24.692347,حي الوزارات,1,1,1,0,1,0,2238.2
131,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,حي الوزارات,1,0,0,0,1,0,101871.3
132,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,حي الوزارات,1,0,0,0,1,0,6145.2
133,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,حي الوزارات,1,0,0,0,1,0,4924.7
134,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,حي الوزارات,1,1,1,0,1,0,6851.4
135,Dominos,3.8,639.0,46.6240752,24.8105963,حي الوزارات,1,1,1,0,1,0,2428.2
136,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,حي الوزارات,1,0,0,0,1,0,3777.2
137,Hardee's,3.3,827.0,46.6436339,24.6008518,حي الوزارات,1,0,0,0,1,0,2729.1
138,KFC,3.5,975.0,46.6441676,24.6004069,حي الوزارات,1,0,0,0,1,0,3412.5
139,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,حي الوزارات,1,1,1,0,1,0,7581.599999999999
140,Mama Noura,4.1,11464.0,46.6653609,24.5717473,حي الوزارات,1,0,0,0,1,0,47002.399999999994
141,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,حي الوزارات,1,0,0,0,1,0,23438.399999999998
142,Herfy,3.8,1376.0,46.6983362,24.6940569,حي الوزارات,1,0,0,0,1,0,5228.8
143,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,حي الوزارات,1,0,0,0,1,0,6634.9
144,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,حي الوزارات,1,0,0,0,1,0,34845.899999999994
145,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,حي الوزارات,1,0,0,0,1,0,3323.1
146,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,حي الوزارات,1,0,0,0,1,0,303.4
147,Herfy,3.7,380.0,46.6575254,24.7559561,حي الوزارات,1,0,0,0,1,0,1406.0
148,KFC,3.6,1452.0,46.7923858,24.6840264,حي الوزارات,1,0,0,0,1,0,5227.2
149,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,حي الوزارات,1,1,1,0,1,0,9356.1
150,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,حي الوزارات,1,0,1,0,1,0,2401.3
151,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,حي الوزارات,1,0,0,0,1,0,18010.2
152,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,حي الوزارات,1,0,1,0,1,0,3081.0
153,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,حي الوزارات,1,0,0,0,1,0,2519.7000000000003
154,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,حي الوزارات,1,0,1,0,1,0,2804.1
155,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,حي الوزارات,1,0,0,0,1,0,4917.2
156,KFC,3.6,1311.0,46.713719,24.6382089,حي الوزارات,1,0,0,0,1,0,4719.6
157,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,حي الوزارات,1,0,0,0,1,0,30972.899999999998
158,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,حي الوزارات,1,0,0,0,1,0,7077.0
159,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,حي الوزارات,1,1,1,0,1,0,4096.0
160,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,حي الوزارات,1,0,0,0,1,0,40252.8
161,Subway,3.7,452.0,46.7834343,24.7289012,حي الوزارات,1,0,0,0,1,0,1672.4
162,Herfy,3.8,896.0,46.6736126,24.7609124,حي الوزارات,1,0,0,0,1,0,3404.7999999999997
163,برجر كاسل,4.1,1057.0,46.6345087,24.714561,حي الوزارات,1,0,0,0,1,0,4333.7
164,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,حي الوزارات,1,0,0,0,1,0,19042.8
165,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,حي الوزارات,1,0,0,0,1,0,17265.600000000002
166,McDonald's,3.7,2042.0,46.640038,24.598766,حي الوزارات,1,0,0,0,1,0,7555.400000000001
167,Subway,3.8,341.0,46.65607869999999,24.608878,حي الوزارات,1,0,0,0,1,0,1295.8
168,McDonald's,3.9,3568.0,46.794646,24.713222,حي الوزارات,1,0,0,0,1,0,13915.199999999999
169,Herfy,3.5,746.0,46.675,24.6755556,حي الوزارات,1,0,0,0,1,0,2611.0
170,KFC,3.8,1219.0,46.6889225,24.62540690000001,حي الوزارات,1,0,0,0,1,0,4632.2
171,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,حي الوزارات,1,0,0,0,1,0,23993.5
172,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,حي الوزارات,1,0,0,0,1,0,4477.0
173,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,حي الوزارات,1,0,0,0,1,0,34246.8
174,Al Romansiah,4.2,9460.0,46.792399,24.695811,حي الوزارات,1,0,0,0,1,0,39732.0
175,Herfy,3.6,872.0,46.750084,24.7795459,حي الوزارات,1,0,0,0,1,0,3139.2000000000003
176,KFC,3.5,1825.0,46.76440969999999,24.7327532,حي الوزارات,1,0,0,0,1,0,6387.5
177,Herfy,3.8,1081.0,46.7975115,24.7809607,حي الوزارات,1,0,0,0,1,0,4107.8
178,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,حي الوزارات,1,0,0,0,1,0,5069.0
179,KFC,3.4,1705.0,46.61225279999999,24.5724179,حي الوزارات,1,0,0,0,1,0,5797.0
180,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,حي جرير,1,0,0,0,1,0,4943.2
181,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,حي جرير,1,0,0,0,1,0,9642.5
182,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,حي جرير,1,0,0,0,1,0,1692.0
183,Dining Hall,3.0,27.0,46.6196551,24.7209893,حي جرير,1,0,0,0,1,0,81.0
184,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,حي جرير,1,0,0,0,1,0,6884.0
185,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,حي جرير,1,0,0,0,1,0,44109.0
186,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,حي جرير,1,0,0,0,1,1,45365.0
187,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,حي جرير,1,0,0,0,1,0,32178.399999999998
188,KFC,3.7,2198.0,46.737091,24.59506409999999,حي جرير,1,0,0,0,1,0,8132.6
189,McDonald's,3.9,2735.0,46.69138399999999,24.570255,حي جرير,1,0,0,0,1,0,10666.5
190,Domino's Pizza,3.8,589.0,46.6049938,24.692347,حي جرير,1,1,1,0,1,0,2238.2
