,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
53,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز,restaurant, food, point_of_interest, establishment
54,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز,restaurant, point_of_interest, food, establishment
55,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز,restaurant, point_of_interest, food, establishment
56,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز,restaurant, point_of_interest, food, establishment
57,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز,restaurant, food, point_of_interest, establishment
58,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز,restaurant, point_of_interest, food, establishment
59,KFC,3.4,1705.0,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز,restaurant, food, point_of_interest, establishment
60,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,lodging, restaurant, point_of_interest, food
61,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
62,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,spa, lodging, restaurant, food
