,Name,Score,Category,Price_Range
1668,11. Dunkin' Donuts,9.0,Donuts,$
1669,1. OREGANO PIZZERIA,9.3,Pizza,$
1670,2. Mama Noura,9.3,Shawarma Restaurant,$$
1671,3. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$
1672,4. Al Hatab Bakery,9.1,Bakery,$$
1673,5. La Casa Pasta,9.1,Italian,$$
1674,6. HATABA,9.0,BBQ,$
1675,7. Dunkin' Donuts,9.0,Donuts,$
1676,8. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$
1677,9. McDonald’s,9.0,Fast Food,$
1678,10. Al Hatab Bakery,9.0,Bakery,$
1679,11. Dunkin' Donuts,9.0,Donuts,$
1680,1. The California Burger,9.4,Burgers,$
1681,2. LPM,9.3,French,$$$
1682,3. Myazū,9.3,Japanese,$$$$
1683,4. Boga Superfoods,9.2,Sandwich Spot,$
1684,5. Signor Sassi,9.2,Italian,$$
1685,6. BLANCA,9.2,Pizza,$
1686,7. Flour & Firewood,9.2,Bakery,$
1687,8. مقصف Muqsaf 90,9.2,Breakfast,$
1688,9. Fawal Alafrah,9.1,Breakfast,$
1689,10. FISHFACE,9.1,Poke Restaurant,$$
1690,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1691,12. San Carlo Cicchetti,9.1,Italian,$
1692,13. Urth Caffé,9.1,Café,$$
1693,14. BACO,9.1,Asian,$
1694,15. TRIESTE,9.1,Café,$$$$
1695,16. PORTERHOUSE,9.0,Steakhouse,$
1696,17. ‏Ajam Coffee,9.0,Café,$
1697,18. Urth caffé,9.0,Food Court,$$$
1698,19. WAGYU,9.0,Burgers,$$
1699,20. Fuchsia,9.0,Armenian,$
1700,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1701,22. Burger Boutique,9.0,Burgers,$
1702,23. Aleppo,9.0,Middle Eastern,$
1703,1. The California Burger,9.4,Burgers,$
1704,2. LPM,9.3,French,$$$
1705,3. Myazū,9.3,Japanese,$$$$
1706,4. Boga Superfoods,9.2,Sandwich Spot,$
1707,5. Signor Sassi,9.2,Italian,$$
1708,6. BLANCA,9.2,Pizza,$
1709,7. Flour & Firewood,9.2,Bakery,$
1710,8. مقصف Muqsaf 90,9.2,Breakfast,$
1711,9. Fawal Alafrah,9.1,Breakfast,$
1712,10. FISHFACE,9.1,Poke Restaurant,$$
1713,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1714,12. San Carlo Cicchetti,9.1,Italian,$
1715,13. Urth Caffé,9.1,Café,$$
1716,14. BACO,9.1,Asian,$
1717,15. TRIESTE,9.1,Café,$$$$
1718,16. PORTERHOUSE,9.0,Steakhouse,$
1719,17. ‏Ajam Coffee,9.0,Café,$
1720,18. Urth caffé,9.0,Food Court,$$$
