,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
487,3. Biox,9.4,Bakery,$,0,4
488,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
489,5. Ghemar Cafe,9.3,Bakery,$,0,4
490,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
491,7. FISHFACE,9.3,Poke Restaurant,$,0,24
492,8. Hels,9.3,Restaurant,$,0,25
493,9. Urth Caffé,9.2,Café,$,0,8
494,10. Shwkat,9.2,Sandwich Spot,$$,1,27
495,11. BLANCA,9.2,Pizza,$,0,23
496,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
497,13. Never Enough,9.2,Bakery,$,0,4
498,14. ALBAIK,9.2,Fried Chicken,$,0,16
499,15. Offwhite Inn,9.2,Restaurant,$$,1,25
500,16. PrimeCut,9.1,Burgers,$,0,7
501,17. CLAY,9.1,Café,$,0,8
502,18. HATABA,9.0,BBQ,$,0,3
503,19. Dunkin' Donuts,9.0,Donuts,$,0,9
504,20. بَاكر,9.0,Sandwich Spot,$$,1,27
505,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
506,22. Eggsactly,9.0,Breakfast,$,0,5
507,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
508,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
509,25. Al Hatab Bakery,9.0,Bakery,$,0,4
510,1. ساين,9.6,Burgers,$,0,7
511,2. Al Hatab Bakery,9.5,Bakery,$,0,4
512,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
513,4. Urth Caffé,9.2,Café,$,0,8
514,5. BLANCA,9.2,Pizza,$$,1,23
515,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
516,7. ALBAIK,9.2,Fried Chicken,$,0,16
517,8. Offwhite Inn,9.2,Restaurant,$,0,25
518,9. Dunkin' Donuts,9.2,Donuts,$,0,9
519,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
520,11. dr.CAFE COFFEE,9.1,Café,$,0,8
521,12. La Casa Pasta,9.1,Italian,$,0,18
522,13. CLAY,9.1,Café,$,0,8
523,14. Boga,9.0,Sandwich Spot,$,0,27
524,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
525,16. Dunkin Donuts,9.0,Donuts,$,0,9
526,17. Dunkin' Donuts,9.0,Donuts,$,0,9
527,18. Dunkin Donuts,9.0,Donuts,$,0,9
528,1. ساين,9.6,Burgers,$,0,7
529,2. Al Hatab Bakery,9.5,Bakery,$,0,4
530,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
531,4. Urth Caffé,9.2,Café,$,0,8
532,5. BLANCA,9.2,Pizza,$$,1,23
533,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
534,7. ALBAIK,9.2,Fried Chicken,$,0,16
535,8. Offwhite Inn,9.2,Restaurant,$,0,25
536,9. Dunkin' Donuts,9.2,Donuts,$,0,9
537,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
538,11. dr.CAFE COFFEE,9.1,Café,$,0,8
539,12. La Casa Pasta,9.1,Italian,$,0,18
540,13. CLAY,9.1,Café,$,0,8
541,14. Boga,9.0,Sandwich Spot,$,0,27
