,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
363,14. Al Hatab Bakery,9.1,Bakery,$,0,2
364,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
365,16. كبدون,9.1,Breakfast,$$,1,3
366,17. Spread,9.1,BBQ,$,0,1
367,18. La Casa Pasta,9.1,Italian,$,0,11
368,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
369,20. Al Hatab Bakery,9.1,Bakery,$,0,2
370,21. Dunkin' Donuts,9.1,Donuts,$,0,6
371,22. دوار السعادة,9.1,Breakfast,$,0,3
372,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
373,24. Dunkin Dounts,9.0,Donuts,$,0,6
374,25. دانكن دونتس,9.0,Donuts,$,0,6
375,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
376,1. Knoll Coffee Roasters,9.6,Café,$,0,5
377,2. ساين,9.6,Burgers,$,0,4
378,3. Al Hatab Bakery,9.5,Bakery,$,0,2
379,4. Red Box,9.5,Restaurant,$,0,16
380,5. WHJ CAFE,9.3,Café,$,0,5
381,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
382,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
383,8. DIA BAKERY,9.3,Bakery,$,0,2
384,9. Urth Caffé,9.2,Café,$,0,5
385,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
386,11. BLANCA,9.2,Pizza,$,0,14
387,12. Armin,9.2,Eastern European,$,0,7
388,13. Dunkin' Donuts,9.2,Donuts,$,0,6
389,14. Al Hatab Bakery,9.1,Bakery,$,0,2
390,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
391,16. كبدون,9.1,Breakfast,$$,1,3
392,17. Spread,9.1,BBQ,$,0,1
393,18. La Casa Pasta,9.1,Italian,$,0,11
394,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
395,20. Al Hatab Bakery,9.1,Bakery,$,0,2
396,21. Dunkin' Donuts,9.1,Donuts,$,0,6
397,22. دوار السعادة,9.1,Breakfast,$,0,3
398,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
399,24. Dunkin Dounts,9.0,Donuts,$,0,6
400,25. دانكن دونتس,9.0,Donuts,$,0,6
401,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
402,1. Knoll Coffee Roasters,9.6,Café,$,0,5
403,2. ساين,9.6,Burgers,$,0,4
404,3. Al Hatab Bakery,9.5,Bakery,$,0,2
405,4. Red Box,9.5,Restaurant,$,0,16
406,5. WHJ CAFE,9.3,Café,$,0,5
407,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
408,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
409,8. DIA BAKERY,9.3,Bakery,$,0,2
410,9. Urth Caffé,9.2,Café,$,0,5
411,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
412,11. BLANCA,9.2,Pizza,$,0,14
413,12. Armin,9.2,Eastern European,$,0,7
414,13. Dunkin' Donuts,9.2,Donuts,$,0,6
415,14. Al Hatab Bakery,9.1,Bakery,$,0,2
416,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
417,16. كبدون,9.1,Breakfast,$$,1,3
418,17. Spread,9.1,BBQ,$,0,1
419,18. La Casa Pasta,9.1,Italian,$,0,11
420,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
421,20. Al Hatab Bakery,9.1,Bakery,$,0,2
422,21. Dunkin' Donuts,9.1,Donuts,$,0,6
423,22. دوار السعادة,9.1,Breakfast,$,0,3
424,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
425,24. Dunkin Dounts,9.0,Donuts,$,0,6
426,25. دانكن دونتس,9.0,Donuts,$,0,6
427,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
428,1. Knoll Coffee Roasters,9.6,Café,$,0,5
429,2. ساين,9.6,Burgers,$,0,4
430,3. Al Hatab Bakery,9.5,Bakery,$,0,2
431,4. Red Box,9.5,Restaurant,$,0,16
432,5. WHJ CAFE,9.3,Café,$,0,5
433,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
434,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
435,8. DIA BAKERY,9.3,Bakery,$,0,2
436,9. Urth Caffé,9.2,Café,$,0,5
437,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
438,11. BLANCA,9.2,Pizza,$,0,14
439,12. Armin,9.2,Eastern European,$,0,7
440,13. Dunkin' Donuts,9.2,Donuts,$,0,6
441,14. Al Hatab Bakery,9.1,Bakery,$,0,2
442,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
443,16. كبدون,9.1,Breakfast,$$,1,3
444,17. Spread,9.1,BBQ,$,0,1
445,18. La Casa Pasta,9.1,Italian,$,0,11
446,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
447,20. Al Hatab Bakery,9.1,Bakery,$,0,2
448,21. Dunkin' Donuts,9.1,Donuts,$,0,6
449,22. دوار السعادة,9.1,Breakfast,$,0,3
450,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
451,24. Dunkin Dounts,9.0,Donuts,$,0,6
452,25. دانكن دونتس,9.0,Donuts,$,0,6
453,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
454,1. Knoll Coffee Roasters,9.6,Café,$,0,5
455,2. ساين,9.6,Burgers,$,0,4
456,3. Al Hatab Bakery,9.5,Bakery,$,0,2
457,4. Red Box,9.5,Restaurant,$,0,16
458,5. WHJ CAFE,9.3,Café,$,0,5
459,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
460,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
461,8. DIA BAKERY,9.3,Bakery,$,0,2
462,9. Urth Caffé,9.2,Café,$,0,5
463,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
464,11. BLANCA,9.2,Pizza,$,0,14
465,12. Armin,9.2,Eastern European,$,0,7
466,13. Dunkin' Donuts,9.2,Donuts,$,0,6
467,14. Al Hatab Bakery,9.1,Bakery,$,0,2
468,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
469,16. كبدون,9.1,Breakfast,$$,1,3
470,17. Spread,9.1,BBQ,$,0,1
471,18. La Casa Pasta,9.1,Italian,$,0,11
472,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
473,20. Al Hatab Bakery,9.1,Bakery,$,0,2
474,21. Dunkin' Donuts,9.1,Donuts,$,0,6
475,22. دوار السعادة,9.1,Breakfast,$,0,3
476,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
477,24. Dunkin Dounts,9.0,Donuts,$,0,6
478,25. دانكن دونتس,9.0,Donuts,$,0,6
479,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
480,1. Knoll Coffee Roasters,9.6,Café,$,0,5
481,2. ساين,9.6,Burgers,$,0,4
482,3. Al Hatab Bakery,9.5,Bakery,$,0,2
483,4. Red Box,9.5,Restaurant,$,0,16
484,5. WHJ CAFE,9.3,Café,$,0,5
485,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
486,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
487,8. DIA BAKERY,9.3,Bakery,$,0,2
488,9. Urth Caffé,9.2,Café,$,0,5
489,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
490,11. BLANCA,9.2,Pizza,$,0,14
491,12. Armin,9.2,Eastern European,$,0,7
492,13. Dunkin' Donuts,9.2,Donuts,$,0,6
493,14. Al Hatab Bakery,9.1,Bakery,$,0,2
494,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
495,16. كبدون,9.1,Breakfast,$$,1,3
496,17. Spread,9.1,BBQ,$,0,1
497,18. La Casa Pasta,9.1,Italian,$,0,11
498,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
499,20. Al Hatab Bakery,9.1,Bakery,$,0,2
500,21. Dunkin' Donuts,9.1,Donuts,$,0,6
501,22. دوار السعادة,9.1,Breakfast,$,0,3
502,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
503,24. Dunkin Dounts,9.0,Donuts,$,0,6
504,25. دانكن دونتس,9.0,Donuts,$,0,6
505,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
506,1. Knoll Coffee Roasters,9.6,Café,$,0,5
507,2. ساين,9.6,Burgers,$,0,4
508,3. Al Hatab Bakery,9.5,Bakery,$,0,2
509,4. Red Box,9.5,Restaurant,$,0,16
510,5. WHJ CAFE,9.3,Café,$,0,5
511,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
512,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
513,8. DIA BAKERY,9.3,Bakery,$,0,2
514,9. Urth Caffé,9.2,Café,$,0,5
515,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
516,11. BLANCA,9.2,Pizza,$,0,14
517,12. Armin,9.2,Eastern European,$,0,7
518,13. Dunkin' Donuts,9.2,Donuts,$,0,6
519,14. Al Hatab Bakery,9.1,Bakery,$,0,2
520,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
521,16. كبدون,9.1,Breakfast,$$,1,3
522,17. Spread,9.1,BBQ,$,0,1
523,18. La Casa Pasta,9.1,Italian,$,0,11
524,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
525,20. Al Hatab Bakery,9.1,Bakery,$,0,2
526,21. Dunkin' Donuts,9.1,Donuts,$,0,6
527,22. دوار السعادة,9.1,Breakfast,$,0,3
528,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
529,24. Dunkin Dounts,9.0,Donuts,$,0,6
530,25. دانكن دونتس,9.0,Donuts,$,0,6
531,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
532,1. Knoll Coffee Roasters,9.6,Café,$,0,5
533,2. ساين,9.6,Burgers,$,0,4
534,3. Al Hatab Bakery,9.5,Bakery,$,0,2
535,4. Red Box,9.5,Restaurant,$,0,16
536,5. WHJ CAFE,9.3,Café,$,0,5
537,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
538,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
539,8. DIA BAKERY,9.3,Bakery,$,0,2
540,9. Urth Caffé,9.2,Café,$,0,5
541,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
542,11. BLANCA,9.2,Pizza,$,0,14
543,12. Armin,9.2,Eastern European,$,0,7
544,13. Dunkin' Donuts,9.2,Donuts,$,0,6
545,14. Al Hatab Bakery,9.1,Bakery,$,0,2
546,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
547,16. كبدون,9.1,Breakfast,$$,1,3
548,17. Spread,9.1,BBQ,$,0,1
549,18. La Casa Pasta,9.1,Italian,$,0,11
550,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
551,20. Al Hatab Bakery,9.1,Bakery,$,0,2
552,21. Dunkin' Donuts,9.1,Donuts,$,0,6
553,22. دوار السعادة,9.1,Breakfast,$,0,3
