,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
70,KFC,9200 21111,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
71,Al-Tazaj,9200 00765,3.9,3797.0,46.5097818,24.5548875,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
72,Falafel Al-Sham,011 523 3392,4.1,304.0,46.27933189999999,24.4726616,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
73,Kudu - Al Muzahmiya Mall,9200 06999,3.8,435.0,46.2867774,24.4760398,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الأندلس
74,McDonald's,800 121 2345,3.6,1128.0,46.286331,24.476011,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
75,Burger King - Exit 28,,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
76,Mama Noura,011 266 6623,4.1,11464.0,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
77,بيتزا الأصايل,055 086 6613,4.0,189.0,46.51706969999999,24.5634764,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
78,Al Nafoura Restaurant,011 267 0815,3.3,1007.0,46.6251475,24.5884052,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
79,Casa Pasta,9200 12111,4.3,808.0,46.5447847,24.5679414,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
80,Maestro Pizza,9200 17777,4.0,760.0,46.54483940000001,24.5680244,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
81,Herfy,9200 01111,3.8,710.0,46.5464219,24.5730097,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
82,Domino's Pizza,9200 12345,3.8,491.0,46.5467046,24.5730066,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
83,Herfy,9200 01111,3.7,1459.0,46.5644569,24.5535259,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
84,Kudu - Najm Al Din Al Ayyubi,9200 06999,3.9,1253.0,46.5684861,24.5531347,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الأندلس
85,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790.0,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
86,KFC,9200 21111,3.2,1068.0,46.5713944,24.5527572,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
87,Krispy Kreme Najm Ad Din - كرسبي كريم نجم الدين,059 801 4251,4.2,351.0,46.5717138,24.5527337,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الأندلس
88,KFC,9200 21111,3.2,1179.0,46.53392159999999,24.6359595,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
89,KFC,9200 21111,3.4,1705.0,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
90,Kudu - Tuwaiq - Riyadh,9200 06999,3.8,1092.0,46.5803146,24.5777535,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الأندلس
91,Herfy,9200 01111,3.8,1459.0,46.5757367,24.5774162,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
92,KFC,9200 21111,3.4,1224.0,46.58212329999999,24.5777937,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
93,Al-Kef Al-Dhahbi Restaurant,011 247 8800,3.8,1792.0,46.5560295,24.6270715,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
94,Maestro Pizza,9200 17777,3.9,1166.0,46.55749,24.6268875,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
95,McDonald's,800 121 2345,3.8,2261.0,46.586062,24.578088,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
96,Al-Saudi Restaurant,9200 09515,3.7,881.0,46.5583919,24.62841929999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
97,Burgerizzr,9200 22997,3.9,891.0,46.561442,24.629409,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
