,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
53,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
54,Al Romansiah,9200 00144,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
55,Herfy,9200 01111,3.6,872.0,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا
56,KFC,9200 21111,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي العليا
57,Herfy,9200 01111,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
58,Burger King - Rawdah,,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
59,KFC,9200 21111,3.4,1705.0,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي العليا
60,مطعم نيوم,050 146 0103,3.3,143.0,44.78612469999999,23.7759254,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
61,بوفية الرفقة,053 450 8937,3.2,18.0,44.7895881,23.777253,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
62,بوفية خفايف,053 376 6074,3.2,33.0,44.7906072,23.7775033,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
63,بوفية السلاطين,,3.0,2.0,44.7934042,23.7756079,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
64,مطعم سما دبي,,4.1,29.0,44.7936741,23.77585850000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
65,Swat restaurant,,,,44.7709565,23.7713478,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
66,مطعم كشمير البخاري,059 042 1174,3.6,219.0,44.7641041,23.7631921,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
67,ركن الكنافة,055 211 1260,4.1,41.0,44.7624435,23.7626758,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
68,بوفيه خبزه وحمسات,,4.4,5.0,44.76429819999999,23.76112909999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
69,بوفية اسماء العتيبي,,5.0,1.0,44.762651,23.76212300000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
70,شكوكلاته الذائبة,054 949 0452,4.6,13.0,44.7617595,23.7627612,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
71,بوفية الاريج,,5.0,2.0,44.7625571,23.762104,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
72,بوفية فول فلافل لتقديم الوجبات,050 744 9214,3.7,45.0,44.7623999,23.7620677,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
73,Kerala hotel,,3.9,8.0,44.7642932,23.7600403,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
74,حلاالطازج للعصائر,055 884 0653,3.5,2.0,44.7617196,23.7617327,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
75,سربستوني,053 184 7115,4.7,47.0,44.76253510000001,23.7610696,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
76,بوفية الحياة,,,,44.7641185,23.7597439,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
77,بوفية الشباب,050 216 9470,3.0,17.0,44.76226339999999,23.7610069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
78,مطعم بنغالي,,,,44.7626044,23.75998079999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
79,فوال و مطبق نورة,053 503 7441,5.0,3.0,44.7620616,23.759976,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
80,معصوب الراقي,050 920 8103,4.7,6.0,44.7628417,23.75937829999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
81,مطعم معصوب ملكي,,5.0,1.0,44.7628344,23.7593272,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
82,بوفية نجد الجزيرة لتقديم الوجبات,,,,44.7627026,23.7593094,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
83,بوفية البكري,,3.7,3.0,44.7627023,23.7593094,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
84,بوفية كبده طازج,,3.8,24.0,44.7621866,23.75964789999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
85,مذاق الدجاج للوجبات السريعة,011 655 2111,3.7,226.0,44.7614997,23.7599655,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
86,مطاعم ومطابخ المذاق المثلوثه,053 393 9694,3.7,330.0,44.7624046,23.7592293,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
87,مطعم الحديقة,055 574 7736,3.3,186.0,44.7603125,23.7608125,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
88,مطعم فلافل العرض,,4.0,2.0,44.7613134,23.7600066,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
89,Burger Roma,055 583 3925,3.5,168.0,44.7621495,23.7591719,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
90,Bait ul bokhari,050 268 6184,3.7,7.0,44.76190800000001,23.7591385,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
91,فوال,,,,44.75580970000001,23.764266,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
92,محل لذيذ للايسكريم,055 855 2543,4.4,13.0,44.7591594,23.7608173,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
93,مطاعم قلعة الفرسان لتقديم الوجبات,055 296 8137,3.6,96.0,44.7002085,23.74173039999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
94,بوفيه السلاطين,,4.0,1.0,44.70037479999999,23.740488,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
95,مطعم الهاجري,,3.3,105.0,44.88456040000001,23.7979441,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
96,Pakistani Restaurant مطعم باكستاني,055 959 3261,5.0,1.0,44.6888711,23.7332642,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
97,Pakistan Swat Restaurant,058 310 1446,2.4,25.0,44.89412889999999,23.7994914,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
98,مطعم بخاري,,2.9,14.0,44.8941168,23.7996792,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
99,بوفيه زنجر,053 054 2819,4.9,7.0,44.8943793,23.799645,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
100,مركز طحي,,,,44.6771425,23.7117484,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
101,بوفيه السلاطين,,5.0,1.0,44.6771425,23.7117484,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
102,بوفية شعبيات العسلي,,5.0,1.0,44.6704319,23.7185517,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
103,Pakistani Hotel,,4.1,49.0,44.6546327,23.7216409,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
104,مطعم فامبا,050 204 6203,4.1,15.0,44.651542,23.7229757,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
105,محطة العمودي,,5.0,1.0,44.651561,23.7224327,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
106,مطبخ سنام الحديث,053 125 5906,5.0,3.0,44.74805189999999,23.6502364,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
107,بوفيه توت وعنب,,4.3,6.0,44.6219155,23.7106265,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
108,مطعم البراك,053 455 3298,4.1,879.0,44.62115070000001,23.7107232,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
109,Mazaq Pakistani Hotel,,5.0,1.0,44.5919455,23.6992381,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
110,مطعم البخاري الباكستاني,055 322 1866,3.4,1155.0,44.9928682,23.8496622,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
111,مخيم افطارصايم جمعيه عروي الخيريه,,5.0,1.0,44.6106791,23.9160373,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
112,Pakistani hotel,,4.3,102.0,44.9946782,23.8480557,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
113,Camp Messhall,,3.8,5.0,45.0609901,23.7838261,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
114,Restaurant and Buffet Arabism,055 211 4644,4.5,16.0,44.9519218,23.9884014,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
115,مطعم السحاب,055 535 0688,1.8,5.0,44.9504613,23.9900549,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
116,مسلخ ومطبخ بصير,,,,44.94989,23.9908752,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
117,مقرمشات فيصل دعكيك,050 099 0721,3.0,4.0,45.0791527,23.885914,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي السليمانية
118,Peshawari hotel,059 782 1447,4.0,1.0,45.079162,23.885942,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
119,مكه المكرمه,,,,45.079162,23.885942,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي السليمانية
120,Sonesta Hotel Tower & Casino Cairo,02 22641111,4.2,11528.0,31.3175599,30.07895909999999,"['casino', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
121,Casino Barrière,02 27373737,4.0,241.0,31.2249468,30.0389969,"['casino', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
122,EL TONSY HOTEL,02 33376908,3.7,1067.0,31.2176806,30.0393458,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
123,Holiday Express Hotel,010 26006112,3.2,1065.0,31.2075497,30.0591197,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
124,رانو سنتر,,5.0,1.0,31.3133694,30.0792023,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
125,El Gomhoureya Restaurant,02 23923008,4.0,2514.0,31.2399542,30.0457447,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
126,Kempinski Nile Hotel Garden City Cairo,02 27980000,4.6,9904.0,31.2304093,30.03864669999999,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
127,Mohamed’s house,011 64646464,5.0,5.0,31.1448816,29.9799181,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
128,Chicken Tikka,0219099,3.9,746.0,31.3425628,30.0544688,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
129,كوستا كوفى,02 0166060,4.2,1945.0,31.2215865,30.06513399999999,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
130,PizzaHut,0219000,4.0,570.0,31.28405,29.976226,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
131,Aperitivo,02 27350543,4.1,404.0,31.2244167,30.0590438,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
132,Costa Coffee,,4.2,1411.0,31.2607343,29.95708860000001,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
133,Taza,010 15083111,4.1,4806.0,31.2159113,30.0393898,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
134,The Cairo Cellar,02 27350652,4.2,502.0,31.2194854,30.0677035,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
135,PizzaHut,0219000,3.8,772.0,31.213721,30.034733,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
136,مطعم الجمهوريه,,3.8,23.0,31.1500477,30.007117,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
137,El Gomhuria,,5.0,3.0,31.24521769999999,30.0331188,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
138,asmak el gomhoria,02 25893496,4.4,11.0,31.2620272,30.0637199,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
139,El Youm,,4.5,2.0,31.2504199,29.9769512,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
140,El Gomhoria,02 22554555,4.4,136.0,31.3129678,30.121433,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
141,مشويات الهلال,012 23470244,5.0,7.0,31.27517659999999,30.078087,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
142,cook door,02 24861646,3.8,630.0,31.2685164,30.0692666,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
143,Ristorante Tuscany,,4.5,111.0,31.22462700000001,30.05714499999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
144,El Arab,,4.3,9.0,31.2377651,30.0829512,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
145,Bedaia,02 23910319,4.7,3.0,31.2497823,30.05699589999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
146,El Khaleig,,,,31.19891029999999,30.0584831,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
147,"The Clubhouse, Uptown Cairo, Emaar",02 25032021,4.6,1836.0,31.300092,30.022361,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
148,PizzaHut,0219000,4.2,416.0,31.1934547,30.05920509999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
149,ATA,,5.0,1.0,31.2430305,30.0429306,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
150,Badaya,012 86807172,4.1,58.0,31.2823736,30.1427196,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
